Vehicle_Type,Year,Price,Mileage
Honda Civic EX,2006,$3200.00, 173432
Honda Civic TYPE-R TOURING,2018,$35500.00, 5100
Honda Civic SI,2000,$15000.00, 123000
Honda Civic Si,2009,$5250.00, 151926
Honda Civic Si Si,2019,$10701.00, 11147
Honda Civic GX,2007,$5800.00, 72000
Honda Civic EX,2019,$16900.00, 34
Honda Civic LX,2016,$13250.00, 39200
Honda Civic Si,2018,$22435.00, 12310
Honda Civic EX,2001,$820.00, 167527
Honda Civic LX,2009,$6995.00, 109119
Honda Civic DX,2000,$3500.00, 200800
Honda Civic SI,2000,$7500.00, 138689
Honda Civic EX-L,2017,$500.00, 34860
Honda Civic EX,1998,$250.00, 175484
Honda Civic ,2000,$15000.00, 5000
Honda Civic LX,2016,$5300.00, 50107
Honda Civic LX,2007,$5500.00, 101440
Honda Civic ,2018,$18500.00, 10500
Honda Civic EX,1996,$152.50, 211374
Honda Civic SI,2019,$17500.00, 12596
Honda Civic LX,2003,$405.00, 67028
: Civic LX,Hond,$8394.39, 114373
Honda Civic Si,2015,$19965.00, 47953
Honda Civic SI,2008,$8999.00, 89958
Honda Civic ,2002,$950.00, 228767
Honda Civic EX,2006,$6717.00, 71491
Honda Civic EX,2019,$8000.00, 7126
Honda Civic SI,2015,$16700.00, 52800
Honda Civic EX,2015,$13700.00, 47200
Honda Civic EX 4dr Sedan w/Automatic,2006,$1726.00, 191753
Honda Civic ,2018,$14500.00, 16706
Honda Civic LX Sedan 4D,2019,$14900.00, 4997
Honda Civic LX,2008,$6000.00, 105000
Honda Civic CVCC,1979,$2450.00, 94900
Honda Civic LX,2017,$12998.00, 36846
Honda Civic TYPE-R TOURING,2019,$41000.00, 1100
Honda Civic LX 2 Owner Dealer Serviced,2009,$135.50, 107192
Honda Civic LX,2013,$8500.00, 82271
Honda Civic ,2005,$2000.00, 176262
Honda Civic TYPE-R TURBO / MANUAL / 4K MILES / HATCHBACK,2019,$28900.00, 4502
Honda Civic ,2019,$38750.00, 7600
Honda Civic Sport,2019,$14900.00, 13900
Honda Civic EX-L,2013,$9495.00, 114220
Honda Civic EX 4dr Sedan w/Automatic,2006,$4200.00, 191753
Honda Civic LX,2017,$12998.00, 41450
Honda Civic SPORT,2017,$20000.00, 29950
: Civic,Hond,$2899.88, 83855
Honda Civic LX,2014,$11500.00, 67200
Honda Civic Show Car Over $30k Invested,1996,$14991.00, 2709
Honda Civic EX,2019,$22498.00, 8082
Honda Civic ,2010,$2225.00, 154000
Honda Civic ,2013,$10500.00, 55000
Honda Civic LX,2017,$13498.00, 28458
Honda Civic EX,2015,$12900.00, 56000
Honda Civic ,2010,$6300.00, 120500
Honda Civic EX,2017,$13998.00, 47835
Honda Civic EX,2016,$17180.00, 53439
Honda Civic NO RESERVE 8K MILES SPORT COUPE LOADED 1 OWNER,2019,$7600.00, 8774
: Civic LX,Hond,$6486.57, 120000
Honda Civic LX 4dr Sedan 5A,2012,$3000.00, 156222
Honda Civic LX,2014,$8985.00, 119522
Honda Civic ,2015,$19000.00, 32323
Honda Civic Si,2018,$23000.00, 17682
Honda Civic CLEAN CARFAX,2017,$17985.00, 35551
Honda Civic LX 4dr Sedan 5A,2012,$6000.00, 156222
Honda Civic ,2015,$12323.00, 32323
Honda Civic EX 4dr Sedan w/Automatic,2006,$6000.00, 205300
HONDA Civic EX,2018,$18986.00, 42199
Honda Civic LX,2017,$12869.00, 55039
Honda Civic EX,2015,$15481.00, 33088
Honda Civic SI,2015,$12900.00, 125150
Honda Civic ,2002,$2400.00, 180000
Honda Accord LX ONE OWNER ONLY 69K MILES CIVIC CLEAN CARFAX,2002,$5999.00, 69070
Honda Other ,1972,$17500.00, 200
Honda Del Sol DEL SOL S,1995,$14888.00, 250289
Toyota Camry NO RESERVE 84K MILES 2.2L POWER SEATS LE MUST SEE!,2001,$2225.00, 84674
Honda Civic EX,1996,$150.00, 211374
Toyota Prius 1OWNER ONLY 42K MILES CLEAN CARFAX NON SMOKER!,2005,$7999.00, 42815
Nissan Sentra Sedan 4D SV I4,2017,$9800.00, 50977
Toyota Corolla LE Well kept and Serviced One Owner,2012,$7400.00, 102930
Chevrolet Volt CLEAN CARFAX NON SMOKER REAR CAMERA RUST FREE!,2011,$6999.00, 93540
Dodge Dart SE,2016,$8000.00, 69993
Honda Civic Si,2000,$19900.00, 80343
Honda Civic Civic LX Sedan 4D,2015,$13990.00, 39404
Honda Civic LX,2015,$13987.00, 58962
Honda Civic Civic LX Sedan 4D,2013,$13990.00, 38315
Honda Civic Civic LX Sedan 4D,2011,$10590.00, 105443
Honda Civic Si 4dr Sedan,2007,$3500.00, 137801
Honda Civic EX-T,2017,$17995.00, 36288
Honda Civic Civic EX-T Sedan 4D,2018,$19990.00, 21687
Honda Civic Si 2dr Hatchback,1993,$3995.00, 84089
